iter	Passed	Remaining
0	112	112010
1	198	99216
2	286	95219
3	377	93962
4	472	93947
5	557	92426
6	651	92447
7	743	92228
8	830	91491
9	931	92201
10	1016	91367
11	1115	91879
12	1204	91454
13	1301	91634
14	1400	91940
15	1497	92107
16	1581	91434
17	1675	91391
18	1765	91138
19	1859	91127
20	1945	90708
21	2032	90359
22	2124	90237
23	2211	89949
24	2306	89970
25	2395	89729
26	2493	89872
27	2586	89779
28	2675	89579
29	2768	89518
30	2868	89657
31	2968	89788
32	3066	89869
33	3154	89614
34	3248	89575
35	3338	89390
36	3436	89445
37	3528	89331
38	3628	89413
39	3722	89348
40	3821	89394
41	3907	89119
42	4001	89046
43	4089	88848
44	4174	88592
45	4264	88447
46	4348	88173
47	4437	88003
48	4525	87829
49	4615	87686
50	4704	87548
51	4802	87561
52	4889	87368
53	4986	87352
54	5070	87126
55	5159	86971
56	5249	86851
57	5337	86681
58	5426	86545
59	5523	86536
60	5611	86383
61	5708	86366
62	5794	86184
63	5891	86163
64	5978	86002
65	6074	85957
66	6159	85777
67	6246	85614
68	6334	85470
69	6422	85324
70	6513	85232
71	6601	85082
72	6686	84910
73	6779	84832
74	6871	84744
75	6955	84564
76	7049	84501
77	7136	84360
78	7220	84174
79	7310	84065
80	7394	83898
81	7476	83704
82	7565	83585
83	7655	83479
84	7739	83316
85	7831	83233
86	7923	83147
87	8007	82987
88	8097	82880
89	8185	82765
90	8269	82602
91	8360	82511
92	8450	82413
93	8537	82284
94	8629	82209
95	8724	82158
96	8811	82029
97	8907	81988
98	8991	81835
99	9088	81799
100	9177	81689
101	9275	81664
102	9361	81528
103	9455	81460
104	9543	81346
105	9629	81212
106	9725	81169
107	9817	81081
108	9912	81025
109	10008	80979
110	10107	80951
111	10194	80824
112	10284	80731
113	10372	80614
114	10466	80546
115	10551	80407
116	10638	80290
117	10733	80230
118	10818	80090
119	10904	79966
120	11001	79917
121	11087	79796
122	11172	79658
123	11263	79573
124	11348	79437
125	11430	79286
126	11521	79200
127	11610	79093
128	11698	78986
129	11787	78886
130	11874	78773
131	11969	78710
132	12054	78582
133	12138	78446
134	12233	78382
135	12319	78265
136	12404	78137
137	12498	78069
138	12582	77939
139	12668	77823
140	12761	77744
141	12853	77664
142	12940	77553
143	13032	77473
144	13115	77338
145	13200	77216
146	13289	77115
147	13371	76976
148	13456	76854
149	13550	76786
150	13635	76668
151	13719	76540
152	13810	76456
153	13910	76418
154	13991	76275
155	14081	76186
156	14169	76081
157	14255	75967
158	14340	75853
159	14424	75728
160	14511	75623
161	14600	75528
162	14688	75425
163	14770	75293
164	14863	75220
165	14946	75094
166	15029	74969
167	15121	74885
168	15203	74758
169	15296	74682
170	15390	74613
171	15475	74498
172	15567	74420
173	15655	74319
174	15740	74205
175	15827	74102
176	15916	74005
177	16001	73895
178	16090	73801
179	16175	73687
180	16261	73579
181	16352	73494
182	16441	73402
183	16523	73277
184	16616	73203
185	16703	73098
186	16786	72979
187	16877	72895
188	16960	72778
189	17045	72668
190	17133	72572
191	17217	72458
192	17305	72362
193	17398	72284
194	17484	72178
195	17566	72059
196	17657	71973
197	17745	71879
198	17830	71770
199	17922	71688
200	18008	71587
201	18098	71497
202	18187	71405
203	18272	71298
204	18357	71192
205	18449	71110
206	18539	71025
207	18625	70921
208	18723	70863
209	18809	70760
210	18898	70668
211	18991	70592
212	19081	70504
213	19172	70417
214	19262	70331
215	19346	70222
216	19444	70162
217	19531	70062
218	19618	69962
219	19707	69872
220	19792	69767
221	19876	69658
222	19964	69561
223	20050	69460
224	20137	69361
225	20223	69262
226	20308	69157
227	20399	69072
228	20489	68984
229	20574	68878
230	20661	68781
231	20750	68690
232	20834	68585
233	20918	68478
234	21012	68402
235	21096	68296
236	21183	68198
237	21273	68109
238	21363	68023
239	21458	67953
240	21550	67871
241	21638	67777
